conversion_rate,occupation,Id,business,Market_Rank,Biz_Street_Number_and_Name,Alt_BizPhone,Search_Location,Enriched_by,Date_Prospected,Prospected_by,Google_Search_Link,Stand_Alone_Website,Google_Search_Side_Profile__Y_N_,Google___of_Reviews,Google_Avg_Rating,Google_Lastest_Review__XXX_months_ago_,Angie_s_Search_Link,Angi_s_Profile_Link,Angi_s___of_Reviews,Angi_s_Avg_Rating,Angi_Lastest_Review_Date,Home_Advisor_Search_Link,HA_Profile_Link,HA___of_Reviews,HA_Avg_Rating,HA_Lastest_Review_Date,Yelp_Search_Link,Yelp_Profile_Link,Yelp___of_Reviews,Yelp___of_Reviews__that_are_not_recommended_,Yelp_Avg_Rating,Yelp__Lastest_Review_Date,Facebook_Search_Link,FB_URL,FB___of_Reviews,FB_Avg_Rating,FB_Latest_Review_Date,FB_Page_Likes,FB_Page_Follows,Instagram_Search_Link,IG_URL,IG_Follows,Month_Released,Occurence_in_MHF__Last_5_mos_,Month,Category,State,City,PostalCode,Phone,Email,DateAdded,sales_outcome,sales_outcome_date_mt,outcome_number_of_attempts,lead_status,lead_number_of_attempts,lead_converted_time,opportunity_id,opportunity_stage,opp_lead_pro_user_pk
0.0311,General Contractor,00Q3q00001ZevtOEAR,Venegas Garcia Construction,1827,"Long Beach, CA",,HomeAdvisor,Karla Bagalay,2/4/2022,Karla Bagalay,"www.google.com/search?q=Venegas Garcia Construction in Anaheim, CA",,true,,,,"www.google.com/search?q=Venegas Garcia Construction in Anaheim, CA site:angi.com",,,,,"www.google.com/search?q=Venegas Garcia Construction in Anaheim, CA site:homeadvisor.com",https://www.homeadvisor.com/rated.VENEGASGARCIA.118365192.html,,,,"www.google.com/search?q=Venegas Garcia Construction in Anaheim, CA site:yelp.com",,,,,,"www.google.com/search?q=Venegas Garcia Construction in Anaheim, CA site:facebook.com",,,,,,,"www.google.com/search?q=Venegas Garcia Construction Anaheim, CA Instagram",,,,,March 2022,General Contracting,CA,Anaheim,90802,5625376126,,2022-03-18,Pitch,2022-04-12,1,Unsuccessful,1,,,,
0.0311,General Contractor,00Q3q00001ZwkzIEAR,Kloster Construction,,"3050 W. 32nd Ave. , Suite B107",7209858374,HomeAdvisor,Edcelle Marie Parreno,3/14/2022,Edcelle Marie Parreno,"www.google.com/search?q=Kloster Construction in Denver, CO",http://www.klosterconstruction.com/,false,,,,"www.google.com/search?q=Kloster Construction in Denver, CO site:angi.com",https://www.angi.com/companylist/us/co/littleton/kloster-construction-reviews-6348940.htm,1,5.0,2012-12-25,"www.google.com/search?q=Kloster Construction in Denver, CO site:homeadvisor.com",https://www.homeadvisor.com/sp/kloster-construction,1,5.0,2011-01-06,"www.google.com/search?q=Kloster Construction in Denver, CO site:yelp.com",https://www.yelp.com/biz/kloster-construction-denver,1,,1.0,2019-02-26,"www.google.com/search?q=Kloster Construction in Denver, CO site:facebook.com",https://www.facebook.com/profile.php?id=100063713283104,,,,,100,"www.google.com/search?q=Kloster Construction Denver, CO Instagram",,,,,March 2022,General Contracting,CO,Denver,80211,3039089980,john@klosterconstruction.com,2022-03-18,Attempt,2022-04-06,1,Unsuccessful,1,,,,
0.0497,Paver,00Q3q00001Zv8EDEAZ,"Murray's Landscaping 
",,"1911 W Adobe Dr

Phoenix, AZ",,HomeAdvisor,Angela Pastidio,3/15/2022,Angela Pastidio,"www.google.com/search?q=Murray's Landscaping 
 in Scottsdale, AZ",,true,,,,"www.google.com/search?q=Murray's Landscaping 
 in Scottsdale, AZ site:angi.com",https://www.angi.com/companylist/us/az/phoenix/murray%27s-landscaping-reviews-145002.htm,4,5.0,2006-10-18,"www.google.com/search?q=Murray's Landscaping 
 in Scottsdale, AZ site:homeadvisor.com",https://www.homeadvisor.com/sp/murrays-landscaping,,,,"www.google.com/search?q=Murray's Landscaping 
 in Scottsdale, AZ site:yelp.com",,,,,,"www.google.com/search?q=Murray's Landscaping 
 in Scottsdale, AZ site:facebook.com",,,,,,,"www.google.com/search?q=Murray's Landscaping 
 Scottsdale, AZ Instagram",,,,,March 2022,Concrete Installation,AZ,Scottsdale,85027,6235877056,azstoneveneer@gmail.com,2022-03-17,Attempt,2022-03-23,1,Unsuccessful,1,,,,
0.0349,Cleaner,00Q3q00001aNao0EAC,CBC Professional Cleaning Service,,2411 67th Ave NE Tacoma WA,,HomeAdvisor,Sheryl Reyes,3/22/2022,Sheryl Reyes,"www.google.com/search?q=CBC Professional Cleaning Service in Tacoma, WA",,false,,,,"www.google.com/search?q=CBC Professional Cleaning Service in Tacoma, WA site:angi.com",,,,,"www.google.com/search?q=CBC Professional Cleaning Service in Tacoma, WA site:homeadvisor.com",https://www.homeadvisor.com/rated.CBCPROFESSIONALCLEANING.115254545.html,,,,"www.google.com/search?q=CBC Professional Cleaning Service in Tacoma, WA site:yelp.com",,,,,,"www.google.com/search?q=CBC Professional Cleaning Service in Tacoma, WA site:facebook.com",,,,,,,"www.google.com/search?q=CBC Professional Cleaning Service Tacoma, WA Instagram",,,,,March 2022,House Cleaning,WA,Tacoma,98422,2537667885,,2022-03-25,Connection,2022-04-11,1,Unsuccessful,1,,,,
0.0311,General Contractor,00Q3q00001aNab1EAC,RC Brothers Inc.,,229 New York St,,HomeAdvisor,Edcelle Marie Parreno,3/21/2022,Edcelle Marie Parreno,"www.google.com/search?q=RC Brothers Inc. in Pittsburgh, PA",,true,3,5.0,1.0,"www.google.com/search?q=RC Brothers Inc. in Pittsburgh, PA site:angi.com",https://www.angi.com/companylist/us/pa/pittsburgh/r-c-brothers-inc-reviews-312677.htm,1,5.0,2006-08-11,"www.google.com/search?q=RC Brothers Inc. in Pittsburgh, PA site:homeadvisor.com",https://www.homeadvisor.com/sp/r-c-brothers,1,5.0,2006-08-11,"www.google.com/search?q=RC Brothers Inc. in Pittsburgh, PA site:yelp.com",https://www.yelp.com/biz/r-c-brothers-pittsburgh,,,,,"www.google.com/search?q=RC Brothers Inc. in Pittsburgh, PA site:facebook.com",,,,,,,"www.google.com/search?q=RC Brothers Inc. Pittsburgh, PA Instagram",,,,,March 2022,General Contracting,PA,Pittsburgh,15220,4129218844,,2022-03-25,Connection,2022-04-10,1,Unsuccessful,1,,,,
0.0311,General Contractor,00Q3q00001aNb2mEAC,Shiv Contracting Inc.,,"13120 101ST Ave South Richmond Hill, NY",,HomeAdvisor,Edcelle Marie Parreno,3/23/2022,Edcelle Marie Parreno,"www.google.com/search?q=Shiv Contracting Inc. in Floral Park, NY",,true,8,4.5,2.0,"www.google.com/search?q=Shiv Contracting Inc. in Floral Park, NY site:angi.com",,,,,"www.google.com/search?q=Shiv Contracting Inc. in Floral Park, NY site:homeadvisor.com",https://www.homeadvisor.com/rated.ShivContractingInc.113452820.html,4,5.0,2020-11-13,"www.google.com/search?q=Shiv Contracting Inc. in Floral Park, NY site:yelp.com",,,,,,"www.google.com/search?q=Shiv Contracting Inc. in Floral Park, NY site:facebook.com",,,,,,,"www.google.com/search?q=Shiv Contracting Inc. Floral Park, NY Instagram",,,,,April 2022,General Contracting,NY,Floral Park,11419,3475920872,,2022-04-01,Retired,2022-05-04,4,Retired,4,,,,
0.0569,Electrician,00Q3q00001aNb8iEAC,ACDC Electric,,433 Santa Barbara,,HomeAdvisor,Edcelle Marie Parreno,3/28/2022,Edcelle Marie Parreno,"www.google.com/search?q=ACDC Electric in Irvine, CA",,false,,,,"www.google.com/search?q=ACDC Electric in Irvine, CA site:angi.com",,,,,"www.google.com/search?q=ACDC Electric in Irvine, CA site:homeadvisor.com",https://www.homeadvisor.com/sp/acdc-electric,,,,"www.google.com/search?q=ACDC Electric in Irvine, CA site:yelp.com",,,,,,"www.google.com/search?q=ACDC Electric in Irvine, CA site:facebook.com",,,,,,,"www.google.com/search?q=ACDC Electric Irvine, CA Instagram",,,,,April 2022,Electrical and Wiring Repair,CA,Irvine,92606,9492318049,,2022-04-01,Retired,2022-04-15,2,Retired,2,,,,
0.0769,Plumber,00Q3q00001aNbGrEAK,JD's Plumbing LLC,,"1154 Dover Center Rd, West Lake, OH",,HomeAdvisor,Edcelle Marie Parreno,3/29/2022,Edcelle Marie Parreno,"www.google.com/search?q=JD's Plumbing LLC in Cleveland, OH",,true,22,4.8,0.5,"www.google.com/search?q=JD's Plumbing LLC in Cleveland, OH site:angi.com",,,,,"www.google.com/search?q=JD's Plumbing LLC in Cleveland, OH site:homeadvisor.com",https://www.homeadvisor.com/rated.JDsPlumbingLLC.88044461.html,84,4.9,2021-09-27,"www.google.com/search?q=JD's Plumbing LLC in Cleveland, OH site:yelp.com",https://www.yelp.com/biz/jds-plumbing-west-lake,,,,,"www.google.com/search?q=JD's Plumbing LLC in Cleveland, OH site:facebook.com",https://www.facebook.com/jdsplumbllc,11,5.0,2020-10-27,,236,"www.google.com/search?q=JD's Plumbing LLC Cleveland, OH Instagram",,,,,April 2022,Plumbing Drain Repair,OH,Cleveland,44145,4404559625,jdleonard410@gmail.com,2022-04-01,Connection,2022-04-13,1,Unsuccessful,1,,,,
0.0497,Paver,00Q3q00001aNaj2EAC,KC Construction and Pavement,,5223 Fuller Drive,,HomeAdvisor,Karla Bagalay,3/22/2022,Karla Bagalay,"www.google.com/search?q=KC Construction and Pavement in Kansas City, MO",https://kcconpave.com/,false,,,,"www.google.com/search?q=KC Construction and Pavement in Kansas City, MO site:angi.com",,,,,"www.google.com/search?q=KC Construction and Pavement in Kansas City, MO site:homeadvisor.com",https://www.homeadvisor.com/rated.httpswwwfacebookcomKCCo.100888778.html,2,5.0,2021-05-11,"www.google.com/search?q=KC Construction and Pavement in Kansas City, MO site:yelp.com",,,,,,"www.google.com/search?q=KC Construction and Pavement in Kansas City, MO site:facebook.com",https://www.facebook.com/KCConPave/,,,,585,588,"www.google.com/search?q=KC Construction and Pavement Kansas City, MO Instagram",,,,,April 2022,Concrete Installation,MO,Kansas City,64133,8169356518,86stevenhughes@gmail.com,2022-04-01,Retired,2022-05-05,2,Retired,2,,,,
0.0349,Cleaner,00Q3q00001aNb8xEAC,Halo Cleaning Services,,590 Gloucester Dr,,HomeAdvisor,Karla Bagalay,3/28/2022,Karla Bagalay,"www.google.com/search?q=Halo Cleaning Services in Cleveland, OH",https://halocleaningservices.com/,true,14,5.0,2.0,"www.google.com/search?q=Halo Cleaning Services in Cleveland, OH site:angi.com",,,,,"www.google.com/search?q=Halo Cleaning Services in Cleveland, OH site:homeadvisor.com",https://www.homeadvisor.com/rated.HaloConstructionLLC.51658780.html,3,5.0,2021-03-03,"www.google.com/search?q=Halo Cleaning Services in Cleveland, OH site:yelp.com",https://www.yelp.com/biz/halo-cleaning-services-highland-heights-2,,4,,,"www.google.com/search?q=Halo Cleaning Services in Cleveland, OH site:facebook.com",https://www.facebook.com/Halo-Cleaning-Services-129869613745505/,5,5.0,2021-08-10,190,194,"www.google.com/search?q=Halo Cleaning Services Cleveland, OH Instagram",https://www.instagram.com/halocleaningoh/,31,,,April 2022,Carpet Cleaning,OH,Cleveland,44143,2162991324,halocleaning@att.net,2022-04-01,Retired,2022-05-26,4,Retired,4,,,,
0.0412,Landscaper,00Q3q00001aNbOwEAK,Golden Circle Concierge,,"4242 Campus Point Ct #1Dr San Diego, CA",,HomeAdvisor,Sheryl Reyes,3/29/2022,Sheryl Reyes,"www.google.com/search?q=Golden Circle Concierge in San Diego, CA",,false,,,,"www.google.com/search?q=Golden Circle Concierge in San Diego, CA site:angi.com",,,,,"www.google.com/search?q=Golden Circle Concierge in San Diego, CA site:homeadvisor.com",https://www.homeadvisor.com/rated.GoldenCircleConcierge.110935830.html,8,4.9,2022-03-26,"www.google.com/search?q=Golden Circle Concierge in San Diego, CA site:yelp.com",,,,,,"www.google.com/search?q=Golden Circle Concierge in San Diego, CA site:facebook.com",,,,,,,"www.google.com/search?q=Golden Circle Concierge San Diego, CA Instagram",https://www.instagram.com/goldencircleconcierge/?hl=en,48,,,April 2022,Outdoor Landscaping and Design,CA,San Diego,92121,8584365533,,2022-04-13,Connection,2022-04-18,1,Unsuccessful,1,,,,
0.0468,Carpenter,00Q3q00001aOlTuEAK,Equity Building Company,,"212 W Matthews St Ste 101

Matthews, NC -",,HomeAdvisor,Ruby Rachel de Castro,4/11/2022,Ruby Rachel de Castro,"www.google.com/search?q=Equity Building Company in Charlotte, NC",,true,,,,"www.google.com/search?q=Equity Building Company in Charlotte, NC site:angi.com",,,,,"www.google.com/search?q=Equity Building Company in Charlotte, NC site:homeadvisor.com",https://www.homeadvisor.com/sp/equity-building-company,6,3.92,2005-02-12,"www.google.com/search?q=Equity Building Company in Charlotte, NC site:yelp.com",,,,,,"www.google.com/search?q=Equity Building Company in Charlotte, NC site:facebook.com",,,,,,,"www.google.com/search?q=Equity Building Company Charlotte, NC Instagram",,,,,April 2022,Deck or Porch Remodel or Addition,NC,Charlotte,28105,7043217898,,2022-04-13,Connection,2022-05-17,4,Unsuccessful,4,,,,
0.0886,HVAC Specialist,00Q3q00001aOlmHEAS,"Busy Kizzy Cleaning Services, LLC",,"3761 Stonesboro Rd, Fort Washington, MD",,HomeAdvisor,Edcelle Marie Parreno,4/6/2022,Edcelle Marie Parreno,"www.google.com/search?q=Busy Kizzy Cleaning Services, LLC in Washington, DC",,false,,,,"www.google.com/search?q=Busy Kizzy Cleaning Services, LLC in Washington, DC site:angi.com",,,,,"www.google.com/search?q=Busy Kizzy Cleaning Services, LLC in Washington, DC site:homeadvisor.com",https://www.homeadvisor.com/sp/busy-kizzy-cleaning-services,,,,"www.google.com/search?q=Busy Kizzy Cleaning Services, LLC in Washington, DC site:yelp.com",,,,,,"www.google.com/search?q=Busy Kizzy Cleaning Services, LLC in Washington, DC site:facebook.com",,,,,,,"www.google.com/search?q=Busy Kizzy Cleaning Services, LLC Washington, DC Instagram",,,,,April 2022,Central Air Conditioning Installation or Replacement,DC,Washington,20744,2022106942,,2022-04-13,Attempt,2022-05-04,1,Unsuccessful,1,,,,
0.0886,HVAC Specialist,00Q3q00001aNwBMEA0,"Temp-Rite, LLC",,"Bala Cynwyd, PA",,HomeAdvisor,Ruby Rachel de Castro,3/16/2022,Ruby Rachel de Castro,"www.google.com/search?q=Temp-Rite, LLC in Philadelphia, PA",,true,,,,"www.google.com/search?q=Temp-Rite, LLC in Philadelphia, PA site:angi.com",https://www.angi.com/companylist/us/pa/philadelphia/temp-rite-llc--philadelphia%2C-pa-heating-and-air-con-reviews-5536951.htm,3,5.0,2014-12-08,"www.google.com/search?q=Temp-Rite, LLC in Philadelphia, PA site:homeadvisor.com",https://www.homeadvisor.com/sp/temprite-pa-and-nj-pa,37,4.81,2013-01-27,"www.google.com/search?q=Temp-Rite, LLC in Philadelphia, PA site:yelp.com",https://www.yelp.com/biz/temp-rite-philadelphia,,,,,"www.google.com/search?q=Temp-Rite, LLC in Philadelphia, PA site:facebook.com",https://www.facebook.com/tempritellc/,2,3.0,,134,142,"www.google.com/search?q=Temp-Rite, LLC Philadelphia, PA Instagram",,,,,April 2022,Heating System Repair or Maintenance,PA,Philadelphia,,6106688889,,2022-04-22,Attempt,2022-04-17,2,Unsuccessful,2,,,,
0.0634,"Floor, Carpet, and Tile Specialist",00Q3q00001YisRaEAJ,Handyboyz,,"San Diego, CA",,Yelp,Edcelle Marie Parreno,3/30/2022,Edcelle Marie Parreno,"www.google.com/search?q=Handyboyz in San Diego, CA",https://handyboyz.business.site/,true,,,,"www.google.com/search?q=Handyboyz in San Diego, CA site:angi.com",,,,,"www.google.com/search?q=Handyboyz in San Diego, CA site:homeadvisor.com",,,,,"www.google.com/search?q=Handyboyz in San Diego, CA site:yelp.com",https://www.yelp.com/biz/handyboyz-san-diego-2?osq=Tile+Installation,32,5,4.5,2022-04-15,"www.google.com/search?q=Handyboyz in San Diego, CA site:facebook.com",,,,,,,"www.google.com/search?q=Handyboyz San Diego, CA Instagram",,,,,April 2022,Tile Installation and Replacement,CA,San Diego,92103,6199000879,,2022-04-22,Attempt,2021-12-30,2,Convert,2,2021-12-14T00:00:00Z,0063q0000124UHjAAM,Closed Lost,
